POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Harshal Patel,15,15,56,459,32,5/27,14.34,8.14,10.56,1,1
2,Avesh Khan,16,16,61,450,24,3/13,18.75,7.37,15.25,0,0
3,Jasprit Bumrah,14,14,55,410,21,4/14,19.52,7.45,15.71,0,0
4,Shardul Thakur,16,16,60,527,21,3/19,25.09,8.8,17.09,0,0
5,Mohammad Shami,14,14,52,395,19,3/15,20.78,7.5,16.63,0,0
6,Rashid Khan,14,14,56,375,18,3/19,20.83,6.69,18.66,0,0
7,Arshdeep Singh,12,12,41,342,18,5/32,19,8.27,13.77,0,1
8,Varun Chakaravarthy,17,17,68,448,18,5/20,24.88,6.58,22.66,0,0
9,Yuzvendra Chahal,15,15,53,374,18,4/25,20.77,7.05,17.66,0,0
10,Jason Holder,8,8,32,247,16,4/52,15.43,7.75,11.93,1,0
11,Sunil Narine,14,14,56,361,16,5/19,22.56,6.44,21,1,0
12,Chris Morris,11,11,41,376,15,4/23,25.06,9.17,16.4,1,0
13,Axar Patel,12,12,46,306,15,4/21,20.4,6.65,18.4,0,0
14,Kagiso Rabada,15,15,56,456,15,4/21,30.4,8.14,22.4,0,0
15,Chetan Sakariya,14,14,52,426,14,3/31,30.42,8.19,22.28,0,0
16,Deepak Chahar,15,15,54,451,14,4/13,32.21,8.35,23.14,2,0
17,Dwayne Bravo,11,11,33,263,14,4/22,18.78,7.81,14.42,0,0
18,Mustafizur Rahman,14,14,52,436,14,3/16,31.14,8.41,22.21,0,0
19,Ravindra Jadeja,16,16,49,346,13,5/16,26.61,7.06,22.61,0,0
20,Lockie Ferguson,8,8,30,224,13,3/15,17.23,7.46,13.84,0,0
21,Trent Boult,14,14,51,406,13,4/18,31.23,7.9,23.69,0,0
22,Rahul Chahar,11,11,43,318,13,4/27,24.46,7.39,19.84,1,0
23,Ravi Bishnoi,9,9,35,222,12,3/24,18.5,6.34,17.5,0,0
24,Anrich Nortje,8,8,30,187,12,3/33,15.58,6.16,15.16,0,0
25,Prasidh Krishna,10,10,38,351,12,4/30,29.25,9.11,19.25,0,0
