POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Kagiso Rabada,17,17,65,548,30,4/21,18.26,8.34,13.13,2,0
2,Jasprit Bumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
3,Trent Boult,15,15,57,457,25,4/18,18.28,7.97,13.76,1,0
4,Anrich Nortje,16,16,61,512,22,3/33,23.27,8.39,16.63,0,0
5,Yuzvendra Chahal,15,15,57,405,21,4/25,19.28,7.08,16.33,0,0
6,Mohammad Shami,14,14,53,460,20,3/15,23,8.57,16.1,0,0
7,Jofra Archer,14,14,55,365,20,3/15,18.25,6.55,16.7,0,0
8,Rashid Khan,16,16,64,344,20,3/19,17.2,5.37,19.2,0,0
9,Varun Chakaravarthy,13,13,52,356,17,5/20,20.94,6.84,18.35,0,1
10,T Natarajan,16,16,63,504,16,2/24,31.5,8.02,23.56,0,0
11,Rahul Chahar,15,15,53,433,15,4/27,28.86,8.16,21.2,0,0
12,Jason Holder,7,7,28,233,14,4/52,16.64,8.32,12,0,0
13,Sandeep Sharma,13,13,52,374,14,4/20,26.71,7.19,22.28,0,0
14,Marcus Stoinis,17,13,29,283,13,4/15,21.76,9.53,13.69,0,0
15,Ravichandran Ashwin,15,15,51,391,13,4/34,30.07,7.66,23.53,0,0
16,Sam Curran,14,13,42,344,13,4/11,26.46,8.19,19.38,0,0
17,Pat Cummins,14,14,52,409,12,4/34,34.08,7.86,26,1,0
18,Ravi Bishnoi,14,14,51,376,12,3/24,31.33,7.37,25.5,0,0
19,Deepak Chahar,14,14,52,396,12,4/13,33,7.61,26,0,0
20,Mohammed Siraj,9,9,27,236,11,4/32,21.45,8.68,14.81,0,0
21,James Pattinson,10,10,35,320,11,2/19,29.09,9.01,19.36,0,0
22,Chris Morris,9,9,31,210,11,4/23,19.09,6.63,17.27,1,0
23,Shreyas Gopal,14,14,50,427,10,4/16,42.7,8.54,30,0,0
24,Murugan Ashwin,9,9,31,235,10,3/21,23.5,7.46,18.9,0,0
25,Shardul Thakur,9,9,32,275,10,3/19,27.5,8.5,19.4,0,0
26,Rahul Tewatia,14,14,46,326,10,3/18,32.6,7.08,27.6,0,0
27,Lungi Ngidi,4,4,16,167,9,4/10,18.55,10.43,10.66,0,0
28,Kartik Tyagi,10,10,38,367,9,2/29,40.77,9.61,25.44,0,0
29,Arshdeep Singh,8,8,25,218,9,5/32,24.22,8.77,16.55,0,0
30,Axar Patel,15,15,51,327,9,4/21,36.33,6.41,34,0,0
31,Shivam Mavi,8,8,26,212,9,4/21,23.55,8.15,17.33,0,0
32,Chris Jordan,9,9,31,304,9,4/11,33.77,9.65,21,0,0
