POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Bhuvneshwar Kumar,17,17,66,490,23,5/19,21.3,7.42,17.21,1,0
2,Yuzvendra Chahal,13,13,49,401,21,4/25,19.09,8.15,14.04,1,0
3,Shane Watson,16,16,56,485,20,4/29,24.25,8.58,16.95,1,0
4,Dhawal Kulkarni,14,14,49,364,18,4/14,20.22,7.42,16.33,1,0
5,Mitchell McClenaghan,14,14,53,436,17,4/21,25.64,8.17,18.82,1,0
6,Dwayne Bravo,15,15,56,494,17,4/22,29.05,8.82,19.76,1,0
7,Mustafizur Rahman,16,16,61,421,17,3/16,24.76,6.9,21.52,0,0
8,Jasprit Bumrah,14,14,52,406,15,4/14,27.06,7.8,20.8,0,0
9,Sandeep Sharma,14,14,50,366,15,4/20,24.4,7.32,20,0,0
10,Andre Russell,12,12,36,291,15,5/15,19.4,7.97,14.6,1,0
11,Barinder Sran,14,14,49,413,14,3/28,29.5,8.34,21.21,0,0
12,Axar Patel,14,14,48,388,13,4/21,29.84,8.11,22.07,1,0
13,Mohit Sharma,14,14,48,407,13,4/14,31.3,8.39,22.38,0,0
14,Chris Morris,12,12,44,308,13,4/23,23.69,7,20.3,0,0
15,Amit Mishra,14,14,46,344,13,5/17,26.46,7.47,21.23,1,0
16,Adam Zampa,5,5,17,115,12,6/19,9.58,6.76,8.5,0,1
17,Moises Henriques,17,17,52,415,12,3/12,34.58,7.98,26,0,0
18,Sreenath Aravind,9,9,29,216,11,4/14,19.63,7.4,15.9,0,0
19,Sunil Narine,11,11,43,304,11,5/19,27.63,7.09,23.36,0,0
20,Ashok Dinda,9,9,30,231,11,4/18,21,7.57,16.63,0,0
21,Piyush Chawla,12,11,35,273,11,4/17,24.81,7.72,19.27,0,0
22,Chris Jordan,9,9,28,258,11,4/11,23.45,9.21,15.27,1,0
23,Zaheer Khan,12,12,43,337,10,4/17,33.7,7.71,26.2,0,0
24,Morne Morkel,10,10,35,297,10,4/20,29.7,8.36,21.3,0,0
25,Umesh Yadav,9,9,26,234,10,4/24,23.4,9,15.6,0,0
