POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Imran Tahir,17,17,64,431,26,4/12,16.57,6.69,14.84,2,0
2,Kagiso Rabada,12,12,47,368,25,4/21,14.72,7.82,11.28,2,0
3,Deepak Chahar,17,17,64,482,22,4/13,21.9,7.47,17.59,0,0
4,Shreyas Gopal,14,14,48,347,20,4/16,17.35,7.22,14.4,0,0
5,Mohammad Shami,14,14,54,469,19,3/15,24.68,8.68,17.05,0,0
6,Khaleel Ahmed,9,9,35,287,19,3/21,15.1,8.23,11,0,0
7,Jasprit Bumrah,16,16,61,409,19,4/14,21.52,6.63,19.47,0,0
8,Yuzvendra Chahal,14,14,49,386,18,4/25,21.44,7.82,16.44,1,0
9,Rashid Khan,15,15,60,377,17,3/19,22.17,6.28,21.17,0,0
10,Lasith Malinga,12,12,45,438,16,5/13,27.37,9.76,16.81,2,0
11,Harbhajan Singh,11,11,44,312,16,5/18,19.5,7.09,16.5,0,0
12,Ravichandran Ashwin,14,14,55,400,15,4/34,26.66,7.27,22,0,0
13,Ravindra Jadeja,16,16,54,343,15,5/16,22.86,6.35,21.6,0,0
14,Hardik Pandya,16,16,42,390,14,3/20,27.85,9.17,18.21,0,0
15,Chris Morris,9,9,33,306,13,4/23,23.53,9.27,15.23,0,0
16,Rahul Chahar,13,13,47,308,13,4/27,23.69,6.55,21.69,0,0
17,Ishant Sharma,13,13,46,349,13,5/12,26.84,7.58,21.23,0,0
18,Bhuvneshwar Kumar,15,15,59,461,13,5/19,35.46,7.81,27.23,0,0
19,Krunal Pandya,16,16,46,335,12,3/14,27.91,7.28,23,0,0
20,Sandeep Sharma,11,11,42,352,12,4/20,29.33,8.25,21.33,0,0
21,Dwayne Bravo,12,12,41,330,11,4/22,30,8.01,22.45,0,0
22,Amit Mishra,11,11,40,270,11,5/17,24.54,6.75,21.81,0,0
23,Andre Russell,14,12,30,287,11,5/15,26.09,9.51,16.45,0,0
24,Navdeep Saini,13,13,48,397,11,2/24,36.09,8.27,26.18,0,0
25,Jofra Archer,11,11,43,291,11,3/15,26.45,6.76,23.45,0,0
26,Sam Curran,9,9,33,323,10,4/11,32.3,9.78,19.8,1,0
27,Axar Patel,14,14,51,364,10,4/21,36.4,7.13,30.6,0,0
28,Piyush Chawla,13,13,44,399,10,4/17,39.9,8.96,26.7,0,0
29,Sunil Narine,12,12,44,347,10,5/19,34.7,7.82,26.6,0,0
30,Jaydev Unadkat,11,11,37,398,10,5/25,39.8,10.66,22.4,0,0
31,Keemo Paul,8,8,27,237,9,3/17,26.33,8.72,18.11,0,0
32,Shardul Thakur,10,9,30,281,8,3/19,35.12,9.36,22.5,0,0
33,Mohammad Nabi,8,8,29,194,8,4/11,24.25,6.65,21.87,1,0
34,Umesh Yadav,11,11,38,371,8,4/24,46.37,9.8,28.37,0,0
35,Sandeep Lamichhane,6,6,23,210,8,3/36,26.25,9.13,17.25,0,0
36,Mohammed Siraj,9,9,28,269,7,4/32,38.42,9.55,24.14,0,0
37,Harry Gurney,8,8,27,238,7,2/25,34,8.81,23.14,0,0
38,Hardus Viljoen,6,6,23,222,7,2/39,31.71,9.65,19.71,0,0
39,Siddarth Kaul,7,7,27,242,6,4/29,40.33,8.96,27,0,0
40,Moeen Ali,11,9,25,169,6,3/7,28.16,6.76,25,0,0
41,Alzarri Joseph,3,3,8,87,6,6/12,14.5,10.03,8.66,0,1
42,Dhawal Kulkarni,10,10,35,335,6,4/14,55.83,9.57,35,0,0
43,Ben Stokes,9,6,17,189,6,3/15,31.5,11.22,16.83,0,0
